timestamps,data
2024-06-12 13:59:44,207960
2024-06-12 13:59:44,207961
2024-06-12 13:59:44,207962
2024-06-12 13:59:44,207963
2024-06-12 13:59:44,207964
2024-06-12 13:59:44,207965
2024-06-12 13:59:44,207966
2024-06-12 13:59:44,207967
2024-06-12 13:59:45,207968
2024-06-12 13:59:45,207969
2024-06-12 13:59:45,207970
2024-06-12 13:59:45,207971
2024-06-12 13:59:45,207972
2024-06-12 13:59:45,207973
2024-06-12 13:59:45,207974
2024-06-12 13:59:45,207975
2024-06-12 13:59:46,207976
2024-06-12 13:59:46,207977
2024-06-12 13:59:46,207978
2024-06-12 13:59:46,207979
2024-06-12 13:59:46,207980
2024-06-12 13:59:46,207981
2024-06-12 13:59:47,207982
2024-06-12 13:59:47,207983
2024-06-12 13:59:47,207984
2024-06-12 13:59:47,207985
2024-06-12 13:59:47,207986
2024-06-12 13:59:47,207987
2024-06-12 13:59:47,207988
2024-06-12 13:59:47,207989
2024-06-12 13:59:47,207990
2024-06-12 13:59:47,207991
2024-06-12 13:59:48,207992
2024-06-12 13:59:48,207993
2024-06-12 13:59:48,207994
2024-06-12 13:59:48,207995
2024-06-12 13:59:48,207996
2024-06-12 13:59:48,207997
2024-06-12 13:59:48,207998
2024-06-12 13:59:48,207999
2024-06-12 13:59:48,208000
2024-06-12 13:59:48,208001
2024-06-12 13:59:49,208002
2024-06-12 13:59:49,208003
2024-06-12 13:59:49,208004
2024-06-12 13:59:49,208005
2024-06-12 13:59:49,208006
2024-06-12 13:59:49,208007
2024-06-12 13:59:49,208008
2024-06-12 13:59:49,208009
2024-06-12 13:59:49,208010
2024-06-12 13:59:50,208011
2024-06-12 13:59:50,208012
2024-06-12 13:59:50,208013
2024-06-12 13:59:50,208014
2024-06-12 13:59:50,208015
2024-06-12 13:59:50,208016
2024-06-12 13:59:50,208017
2024-06-12 13:59:50,208018
2024-06-12 13:59:50,208019
2024-06-12 13:59:50,208020
2024-06-12 13:59:51,208021
2024-06-12 13:59:51,208022
2024-06-12 13:59:51,208023
2024-06-12 13:59:51,208024
2024-06-12 13:59:51,208025
2024-06-12 13:59:51,208026
2024-06-12 13:59:51,208027
2024-06-12 13:59:51,208028
2024-06-12 13:59:51,208029
2024-06-12 13:59:51,208030
2024-06-12 13:59:52,208031
2024-06-12 13:59:52,208032
2024-06-12 13:59:52,208033
2024-06-12 13:59:52,208034
2024-06-12 13:59:52,208035
2024-06-12 13:59:52,208036
2024-06-12 13:59:52,208037
2024-06-12 13:59:52,208038
2024-06-12 13:59:52,208039
2024-06-12 13:59:52,208040
2024-06-12 13:59:53,208041
2024-06-12 13:59:53,208042
2024-06-12 13:59:53,208043
2024-06-12 13:59:53,208044
2024-06-12 13:59:53,208045
2024-06-12 13:59:53,208046
2024-06-12 13:59:53,208047
2024-06-12 13:59:53,208048
2024-06-12 13:59:53,208049
2024-06-12 13:59:53,208050
2024-06-12 13:59:54,208051
2024-06-12 13:59:54,208052
2024-06-12 13:59:54,208053
2024-06-12 13:59:54,208054
2024-06-12 13:59:54,208055
2024-06-12 13:59:54,208056
2024-06-12 13:59:54,208057
2024-06-12 13:59:54,208058
2024-06-12 13:59:54,208059
2024-06-12 13:59:55,208060
2024-06-12 13:59:55,208061
2024-06-12 13:59:55,208062
2024-06-12 13:59:55,208063
2024-06-12 13:59:55,208064
2024-06-12 13:59:55,208065
2024-06-12 13:59:55,208066
2024-06-12 13:59:56,208067
2024-06-12 13:59:56,208068
2024-06-12 13:59:56,208069
2024-06-12 13:59:56,208070
2024-06-12 13:59:56,208071
2024-06-12 13:59:56,208072
2024-06-12 13:59:56,208073
2024-06-12 13:59:56,208074
2024-06-12 13:59:56,208075
2024-06-12 13:59:56,208076
2024-06-12 13:59:57,208077
2024-06-12 13:59:57,208078
2024-06-12 13:59:57,208079
2024-06-12 13:59:57,208080
2024-06-12 13:59:57,208081
2024-06-12 13:59:57,208082
2024-06-12 13:59:57,208083
2024-06-12 13:59:57,208084
2024-06-12 13:59:57,208085
2024-06-12 13:59:58,208086
2024-06-12 13:59:58,208087
2024-06-12 13:59:58,208088
2024-06-12 13:59:58,208089
2024-06-12 13:59:58,208090
2024-06-12 13:59:58,208091
2024-06-12 13:59:58,208092
2024-06-12 13:59:58,208093
2024-06-12 13:59:58,208094
2024-06-12 13:59:58,208095
2024-06-12 13:59:59,208096
2024-06-12 13:59:59,208097
2024-06-12 13:59:59,208098
2024-06-12 13:59:59,208099
2024-06-12 13:59:59,208100
2024-06-12 13:59:59,208101
2024-06-12 13:59:59,208102
2024-06-12 13:59:59,208103
2024-06-12 13:59:59,208104
2024-06-12 13:59:59,208105
2024-06-12 14:00:00,208106
2024-06-12 14:00:00,208107
2024-06-12 14:00:00,208108
2024-06-12 14:00:00,208109
2024-06-12 14:00:00,208110
2024-06-12 14:00:00,208111
2024-06-12 14:00:00,208112
2024-06-12 14:00:00,208113
2024-06-12 14:00:00,208114
2024-06-12 14:00:00,208115
2024-06-12 14:00:01,208116
2024-06-12 14:00:01,208117
2024-06-12 14:00:01,208118
2024-06-12 14:00:01,208119
2024-06-12 14:00:01,208120
2024-06-12 14:00:01,208121
2024-06-12 14:00:01,208122
2024-06-12 14:00:01,208123
2024-06-12 14:00:01,208124
2024-06-12 14:00:01,208125
2024-06-12 14:00:02,208126
2024-06-12 14:00:02,208127
2024-06-12 14:00:02,208128
2024-06-12 14:00:02,208129
2024-06-12 14:00:02,208130
2024-06-12 14:00:02,208131
2024-06-12 14:00:02,208132
2024-06-12 14:00:02,208133
2024-06-12 14:00:03,208134
2024-06-12 14:00:03,208135
2024-06-12 14:00:03,208136
2024-06-12 14:00:03,208137
2024-06-12 14:00:03,208138
2024-06-12 14:00:03,208139
2024-06-12 14:00:03,208140
2024-06-12 14:00:03,208141
2024-06-12 14:00:03,208142
2024-06-12 14:00:03,208143
2024-06-12 14:00:04,208144
2024-06-12 14:00:04,208145
2024-06-12 14:00:04,208146
2024-06-12 14:00:04,208147
2024-06-12 14:00:04,208148
2024-06-12 14:00:04,208149
2024-06-12 14:00:04,208150
2024-06-12 14:00:04,208151
2024-06-12 14:00:04,208152
2024-06-12 14:00:05,208153
2024-06-12 14:00:05,208154
2024-06-12 14:00:05,208155
2024-06-12 14:00:05,208156
2024-06-12 14:00:05,208157
2024-06-12 14:00:05,208158
2024-06-12 14:00:05,208159
2024-06-12 14:00:05,208160
2024-06-12 14:00:05,208161
2024-06-12 14:00:05,208162
2024-06-12 14:00:06,208163
2024-06-12 14:00:06,208164
2024-06-12 14:00:06,208165
2024-06-12 14:00:06,208166
2024-06-12 14:00:06,208167
2024-06-12 14:00:06,208168
2024-06-12 14:00:06,208169
2024-06-12 14:00:06,208170
2024-06-12 14:00:06,208171
2024-06-12 14:00:06,208172
2024-06-12 14:00:07,208173
2024-06-12 14:00:07,208174
2024-06-12 14:00:07,208175
2024-06-12 14:00:07,208176
2024-06-12 14:00:07,208177
2024-06-12 14:00:07,208178
2024-06-12 14:00:07,208179
2024-06-12 14:00:07,208180
2024-06-12 14:00:07,208181
2024-06-12 14:00:07,208182
2024-06-12 14:00:08,208183
2024-06-12 14:00:08,208184
2024-06-12 14:00:08,208185
2024-06-12 14:00:08,208186
2024-06-12 14:00:08,208187
2024-06-12 14:00:08,208188
2024-06-12 14:00:08,208189
2024-06-12 14:00:08,208190
2024-06-12 14:00:08,208191
2024-06-12 14:00:09,208192
2024-06-12 14:00:09,208193
2024-06-12 14:00:09,208194
2024-06-12 14:00:09,208195
2024-06-12 14:00:09,208196
2024-06-12 14:00:09,208197
2024-06-12 14:00:09,208198
2024-06-12 14:00:09,208199
2024-06-12 14:00:09,208200
2024-06-12 14:00:09,208201
2024-06-12 14:00:10,208202
2024-06-12 14:00:10,208203
2024-06-12 14:00:10,208204
2024-06-12 14:00:10,208205
2024-06-12 14:00:10,208206
2024-06-12 14:00:10,208207
2024-06-12 14:00:10,208208
2024-06-12 14:00:10,208209
2024-06-12 14:00:10,208210
2024-06-12 14:00:10,208211
2024-06-12 14:00:11,208212
2024-06-12 14:00:11,208213
2024-06-12 14:00:11,208214
2024-06-12 14:00:11,208215
2024-06-12 14:00:11,208216
2024-06-12 14:00:11,208217
2024-06-12 14:00:11,208218
2024-06-12 14:00:11,208219
2024-06-12 14:00:11,208220
2024-06-12 14:00:11,208221
2024-06-12 14:00:12,208222
2024-06-12 14:00:12,208223
2024-06-12 14:00:12,208224
2024-06-12 14:00:12,208225
2024-06-12 14:00:12,208226
2024-06-12 14:00:12,208227
2024-06-12 14:00:12,208228
2024-06-12 14:00:12,208229
2024-06-12 14:00:13,208230
2024-06-12 14:00:13,208231
2024-06-12 14:00:13,208232
2024-06-12 14:00:13,208233
2024-06-12 14:00:13,208234
2024-06-12 14:00:13,208235
2024-06-12 14:00:13,208236
2024-06-12 14:00:13,208237
2024-06-12 14:00:13,208238
2024-06-12 14:00:14,208239
2024-06-12 14:00:14,208240
2024-06-12 14:00:14,208241
2024-06-12 14:00:14,208242
2024-06-12 14:00:14,208243
2024-06-12 14:00:14,208244
2024-06-12 14:00:14,208245
2024-06-12 14:00:14,208246
2024-06-12 14:00:14,208247
2024-06-12 14:00:14,208248
2024-06-12 14:00:15,208249
2024-06-12 14:00:15,208250
2024-06-12 14:00:15,208251
2024-06-12 14:00:15,208252
2024-06-12 14:00:15,208253
2024-06-12 14:00:15,208254
2024-06-12 14:00:15,208255
2024-06-12 14:00:15,208256
2024-06-12 14:00:15,208257
2024-06-12 14:00:15,208258
2024-06-12 14:00:16,208259
2024-06-12 14:00:16,208260
2024-06-12 14:00:16,208261
2024-06-12 14:00:16,208262
2024-06-12 14:00:16,208263
2024-06-12 14:00:16,208264
2024-06-12 14:00:16,208265
2024-06-12 14:00:16,208266
2024-06-12 14:00:16,208267
2024-06-12 14:00:17,208268
2024-06-12 14:00:17,208269
2024-06-12 14:00:17,208270
2024-06-12 14:00:17,208271
2024-06-12 14:00:17,208272
2024-06-12 14:00:17,208273
2024-06-12 14:00:17,208274
2024-06-12 14:00:17,208275
2024-06-12 14:00:17,208276
2024-06-12 14:00:17,208277
2024-06-12 14:00:18,208278
2024-06-12 14:00:18,208279
2024-06-12 14:00:18,208280
2024-06-12 14:00:18,208281
2024-06-12 14:00:18,208282
2024-06-12 14:00:18,208283
2024-06-12 14:00:18,208284
2024-06-12 14:00:18,208285
2024-06-12 14:00:18,208286
2024-06-12 14:00:18,208287
2024-06-12 14:00:19,208288
2024-06-12 14:00:19,208289
2024-06-12 14:00:19,208290
2024-06-12 14:00:19,208291
2024-06-12 14:00:19,208292
2024-06-12 14:00:19,208293
2024-06-12 14:00:19,208294
2024-06-12 14:00:19,208295
2024-06-12 14:00:19,208296
2024-06-12 14:00:20,208297
2024-06-12 14:00:20,208298
2024-06-12 14:00:20,208299
2024-06-12 14:00:20,208300
2024-06-12 14:00:20,208301
2024-06-12 14:00:20,208302
2024-06-12 14:00:20,208303
2024-06-12 14:00:20,208304
2024-06-12 14:00:20,208305
2024-06-12 14:00:20,208306
2024-06-12 14:00:21,208307
2024-06-12 14:00:21,208308
2024-06-12 14:00:21,208309
2024-06-12 14:00:21,208310
2024-06-12 14:00:21,208311
2024-06-12 14:00:21,208312
2024-06-12 14:00:21,208313
2024-06-12 14:00:21,208314
2024-06-12 14:00:21,208315
2024-06-12 14:00:22,208316
2024-06-12 14:00:22,208317
2024-06-12 14:00:22,208318
2024-06-12 14:00:22,208319
2024-06-12 14:00:22,208320
2024-06-12 14:00:22,208321
2024-06-12 14:00:22,208322
2024-06-12 14:00:22,208323
2024-06-12 14:00:22,208324
2024-06-12 14:00:22,208325
2024-06-12 14:00:23,208326
2024-06-12 14:00:23,208327
2024-06-12 14:00:23,208328
2024-06-12 14:00:23,208329
2024-06-12 14:00:23,208330
2024-06-12 14:00:23,208331
2024-06-12 14:00:23,208332
2024-06-12 14:00:23,208333
2024-06-12 14:00:23,208334
2024-06-12 14:00:24,208335
2024-06-12 14:00:24,208336
2024-06-12 14:00:24,208337
2024-06-12 14:00:24,208338
2024-06-12 14:00:24,208339
2024-06-12 14:00:24,208340
2024-06-12 14:00:24,208341
2024-06-12 14:00:24,208342
2024-06-12 14:00:24,208343
2024-06-12 14:00:24,208344
2024-06-12 14:00:25,208345
2024-06-12 14:00:25,208346
2024-06-12 14:00:25,208347
2024-06-12 14:00:25,208348
2024-06-12 14:00:25,208349
2024-06-12 14:00:25,208350
2024-06-12 14:00:25,208351
2024-06-12 14:00:25,208352
2024-06-12 14:00:25,208353
2024-06-12 14:00:25,208354
2024-06-12 14:00:26,208355
2024-06-12 14:00:26,208356
2024-06-12 14:00:26,208357
2024-06-12 14:00:26,208358
2024-06-12 14:00:26,208359
2024-06-12 14:00:26,208360
2024-06-12 14:00:26,208361
2024-06-12 14:00:26,208362
2024-06-12 14:00:26,208363
2024-06-12 14:00:26,208364
2024-06-12 14:00:27,208365
2024-06-12 14:00:27,208366
2024-06-12 14:00:27,208367
2024-06-12 14:00:27,208368
